X,Y,month,day,FFMC,DMC,DC,ISI,temp,humidity,wind,rain,area
6.995717812111218,4.544909530917106,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0
7.35862025666353,4.8851132555799115,oct,tue,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0
5.940141237470504,3.7438833793030386,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0
7.8195998821386095,6.029773335448779,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0
8.774269284440239,5.636968965590741,mar,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0
8.177542447363189,6.071576541919695,aug,sun,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0
8.407227859545802,6.394340093683445,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0
8.601778297802976,5.679842618384306,aug,mon,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0
9.098543175589498,6.008674563598882,sep,tue,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0
6.881855939152004,4.9736611973306175,sep,sat,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0
7.534749547874091,4.782041009214485,sep,sat,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0
6.435243285203178,5.1269336051313,sep,sat,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0
5.5479172224808675,4.86052314499103,aug,fri,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0
5.466429572680394,4.902358559138465,sep,mon,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0
6.263579740837308,5.226170832635241,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0
5.407743576391493,4.8198740844262815,sep,fri,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0
4.795328970898604,3.9377858869656595,mar,sat,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0
7.333778153832016,5.638446166627803,oct,mon,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0
5.198839019072137,3.4823983790938033,mar,wed,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0
5.497501446783024,4.45252704228409,apr,sat,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0
6.647305141801173,3.5715227023000673,sep,tue,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0
5.33149442338758,3.78019439000795,sep,mon,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0
6.535384880819307,3.993231118779051,jun,sun,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0
7.1407793065296925,4.981427498491198,aug,sat,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0
7.214111166491964,3.631098265226268,aug,sat,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0
6.544986811251134,4.46031110393041,aug,sun,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0
6.545517534282313,4.674925233144629,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0
6.935152395923974,3.549049948443454,sep,mon,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0
6.415282957417499,2.435755890342331,sep,sat,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0
6.850313759446408,2.9545608547292206,sep,sun,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0
7.014994846013458,2.937589047444428,sep,fri,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0
6.412957198105055,2.4435876007361124,sep,mon,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0
5.951224572939027,2.774769669441485,sep,fri,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0
5.8969287497823055,3.2996182148468907,sep,sun,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0
6.217073861079645,2.9967602445832933,sep,mon,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0
6.740925374702483,3.230217331428813,sep,tue,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0
6.027334434359024,1.7775922945269371,oct,tue,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,0.0
7.0348219643028544,3.8770842763824866,oct,fri,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0
7.089814888527559,3.063223091816966,oct,sat,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0
3.606978457399249,3.3712574189586304,mar,tue,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0
3.4352638163760343,4.006614344205498,jul,tue,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0
4.323037657629073,4.017542350410867,aug,sat,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0
3.8562799708033704,4.278433059358981,aug,tue,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0
4.500565138556393,3.735596342389443,sep,sat,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0,0.0
3.670583295924746,3.8870106894861247,sep,wed,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0
5.550262222502162,6.367644173964639,sep,wed,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0
5.003065298142828,5.470814165950825,sep,mon,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0
6.231024257108079,6.028860339416865,jul,mon,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0
3.646438328763474,4.05545835867326,mar,mon,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0
4.0691864930381945,4.1947534077285145,mar,mon,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0
4.159879424261476,3.3286945817577873,sep,thu,92.9,137.0,706.4,9.2,20.8,17,1.3,0.0,0.0
3.810484915668808,2.9104163612378753,aug,sun,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0,0.0
3.337480683220903,2.8256229447251915,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0
3.719860581205637,3.1441033626982233,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0
3.610301626568836,3.0121193109707938,aug,thu,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0,0.0
3.9960202552122124,2.807409120690188,sep,thu,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0
3.446608291008137,2.8128929083052956,sep,tue,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0
3.601490238462767,3.7378390254184706,oct,sun,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0,0.0
1.1832992751945244,2.663197279288069,feb,mon,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0
2.0702747951378258,2.3474820838962063,feb,fri,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0.0
1.1834336319197574,2.10227449697465,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0
2.628296443236617,2.1345487795618,mar,sun,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0.0
2.481854062535224,2.1197226712756674,aug,thu,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0.0
2.868768366469822,1.6110329997191586,aug,sun,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0
